Serial,Rank,Word,Type,Emotion
9,3,鬱悶,Vi,NEGATIVE
9,3,插隊,Vi,NONE
10,3,貴,Vi,NONE
10,3,修路,Vi,NONE
10,3,內,N,NONE
10,3,前,N,NONE
10,3,門,N,NONE
10,3,小時,N,NONE
10,3,門口,N,NONE
11,3,本身,N,NONE
11,3,一下,N,NONE
11,3,那邊,N,NONE
11,3,加,Vt,NONE
11,3,問題,N,NEGATIVE
11,3,食品,N,NONE
11,3,早餐,N,NONE
11,3,重視,Vt,POSITIVE
11,3,應該,ADV,POSITIVE
12,3,告訴,Vt,POSITIVE
12,3,細節,N,NEGATIVE
12,3,優點,N,POSITIVE
12,3,行,Vi,NONE
12,3,最近,N,NONE
12,1,追,Vt,NONE
12,3,表揚,Vt,POSITIVE
12,3,改進,Vt,NEGATIVE
12,3,清潔,Vi,POSITIVE
12,3,標準,N,POSITIVE
12,3,住,Vt,NONE
12,3,附件,N,NONE
12,3,認真,Vi,POSITIVE
12,3,設施,N,NONE
12,3,一段,N,NONE
12,3,像,Vt,NONE
12,3,做,Vt,NONE
12,3,工地,N,NONE
12,3,忘,Vt,NONE
12,3,需要,Vt,NONE
12,3,東西,N,NEGATIVE
12,3,長,Vi,NONE
12,3,比較,ADV,NONE
12,3,最,ADV,NONE
12,3,打,Vt,NONE
12,3,浦東,N,NONE
12,3,及時,ADV,POSITIVE
12,3,收拾,Vt,NEGATIVE
12,3,6樓,N,NONE
12,3,距離,N,NONE
12,3,樓層,N,NONE
12,3,大道,N,NONE
13,3,訂,Vt,NONE
13,3,同事,N,NONE
13,3,他,N,NONE
13,3,以下,N,NONE
13,3,給,Vt,NONE
14,3,行李,N,NONE
14,3,天才,N,POSITIVE
14,3,最後,N,NEGATIVE
14,1,素菜,N,NONE
14,3,弄丟,Vt,NONE
14,1,找回來,Vi,NONE
14,3,禮賓部,N,NONE
14,3,別人,N,NONE
14,1,領走,Vt,NONE
14,3,發現,Vt,POSITIVE
15,3,讓,Vt,NONE
15,3,感動,Vt,POSITIVE
15,3,上來,Vi,POSITIVE
15,3,處理,Vt,NEGATIVE
15,3,小,Vi,NONE
15,3,道歉,Vi,NEGATIVE
15,3,還是,ADV,POSITIVE
15,3,親自,ADV,POSITIVE
15,3,錯誤,N,NEGATIVE
15,3,副理,N,NONE
15,3,專業,Vi,POSITIVE
15,3,慢,Vi,NONE
15,3,速度,N,NONE
16,3,中國,N,NONE
16,3,原先,ADV,NONE
16,3,請,Vt,NONE
16,1,設,Vt,NONE
16,3,忍受,Vt,NEGATIVE
16,3,很少,ADV,NEGATIVE
16,3,放進,Vt,NONE
16,3,者,N,NONE
16,3,看到,Vt,POSITIVE
16,3,抽屜,N,NONE
16,3,成為,Vt,POSITIVE
16,3,服從,Vt,POSITIVE
16,3,人口,N,NONE
16,3,再,ADV,NONE
16,3,規則,N,NONE
16,3,點,ADV,NONE
16,3,謝謝,Vt,POSITIVE
16,3,只,ADV,NONE
16,1,煙灰缸,N,NONE
16,3,到,Vt,NONE
16,3,無煙層,N,NONE
16,3,少,Vi,NONE
16,3,無煙,Vi,NONE
16,3,得,ADV,NONE
16,3,煙民,N,NONE
16,3,客房,N,NONE
16,3,吸煙,Vi,NONE
16,3,多,ADV,NONE
16,3,賓館,N,NONE
16,3,自覺,Vt,POSITIVE
16,3,希望,Vt,POSITIVE
16,1,加付,Vt,NONE
16,1,再接再厲,Vi,POSITIVE
16,3,二手,A,NONE
16,3,受害者,N,NEGATIVE
16,3,高級,Vi,POSITIVE
16,1,煙鬼,N,NONE
16,3,樓,N,NONE
16,3,房價,N,NONE
16,3,豐富,Vt,POSITIVE
16,3,仍然,ADV,POSITIVE
16,3,不許,ADV,NEGATIVE
16,3,煙,N,NONE
16,3,提升,Vt,POSITIVE
16,3,抽煙,Vi,NONE
16,3,中國人,N,NONE
16,3,評論,N,NONE
16,3,電梯,N,NONE
16,1,外企,N,NONE
17,3,地毯,N,NONE
17,3,太多,Vi,NONE
17,3,不好,Vt,NEGATIVE
17,1,超多,Vi,NONE
17,3,老,Vi,NONE
17,3,亂,Vi,NONE
17,3,景點,N,NONE
17,3,火車站,N,NONE
17,3,真的,ADV,POSITIVE
17,3,怪味,N,NONE
17,3,打開,Vt,POSITIVE
17,3,基本,N,POSITIVE
17,3,空氣,N,NONE
17,3,競爭力,N,POSITIVE
17,3,旁邊,N,NONE
17,1,快軌,N,NONE
17,3,日本人,N,NONE
17,1,佈局,Vi,NONE
17,3,稍,ADV,NONE
18,3,安靜,Vi,POSITIVE
19,3,完全,ADV,POSITIVE
19,3,超值,Vi,NONE
19,3,服務,Vt,POSITIVE
19,3,星,N,NONE
20,3,地點,N,NONE
21,1,華東,N,NONE
21,3,裝修,Vt,NONE
21,3,富麗,Vi,POSITIVE
21,3,入住,Vt,NONE
21,3,選擇,Vt,POSITIVE
21,3,以後,N,NONE
21,3,西樓,N,NONE
21,3,新,Vi,NONE
21,3,條件,N,NONE
21,3,大連,N,NONE
22,3,區別,N,NONE
22,3,划算,Vi,POSITIVE
22,3,協議,N,POSITIVE
22,3,那麼,ADV,NONE
22,3,沒,Vt,NONE
22,3,香格里拉,N,NONE
23,3,品種,N,NONE
23,3,大堂,N,NONE
23,3,隔壁,N,NONE
23,3,店,N,NONE
23,3,需,ADV,NONE
23,3,挺,ADV,NONE
23,3,東樓,N,NONE
23,3,寬敞,Vi,POSITIVE
23,3,西餐廳,N,NONE
23,3,相對,Vi,NEGATIVE
23,3,食物,N,NONE
23,3,方面,N,NONE
24,3,舒服,Vi,POSITIVE
24,3,便宜,Vi,NEGATIVE
25,1,南山,N,NONE
25,3,花園,N,NONE
25,3,差點,ADV,NEGATIVE
25,3,搞錯,Vt,NEGATIVE
26,3,最好,Vi,POSITIVE
26,3,國內,N,NONE
35,3,她們,N,NONE
35,3,差不多,Vi,NONE
35,3,游泳,Vi,NONE
35,1,奧迪,N,NONE
35,3,不同,Vi,NEGATIVE
35,3,乘,Vt,NONE
35,3,受到,Vt,NEGATIVE
35,3,開放,Vi,POSITIVE
35,3,地方,N,NONE
35,1,各,ADV,NONE
35,3,一樓,N,NONE
35,3,告知,Vt,POSITIVE
35,3,估計,Vt,POSITIVE
35,3,打扮,N,NONE
35,3,送,Vt,NONE
35,1,喝茶,Vi,NONE
35,3,裡面,N,NONE
35,3,難道,ADV,NEGATIVE
35,3,小費,N,NONE
35,3,學,Vt,NONE
35,3,泳池,N,NONE
35,3,二樓,N,NONE
35,3,搬,Vt,NONE
35,3,說話,Vi,NONE
35,3,女孩子,N,NONE
35,3,想,Vt,NONE
35,3,笑容,N,POSITIVE
35,1,日文,N,NONE
35,3,看,Vt,NONE
35,1,猜錯,Vt,NONE
35,3,下車,Vi,NONE
35,1,進口,Vt,NONE
35,1,妖艷,Vi,NONE
35,1,吝嗇,Vi,NEGATIVE
35,1,口音,N,NONE
35,3,到達,Vt,POSITIVE
35,3,自己,N,NONE
35,3,吃飯,Vi,NONE
35,1,馬自達,N,NONE
36,3,海邊,N,NONE
37,3,特意,ADV,NONE
37,3,並,ADV,NONE
37,3,經理,N,NONE
37,3,感謝,Vt,POSITIVE
37,3,註明,Vt,NONE
37,3,表示,Vt,POSITIVE
37,3,注意,Vt,POSITIVE
37,1,妥善,Vi,POSITIVE
37,3,通知,Vt,POSITIVE
37,3,滿意,Vt,POSITIVE
37,1,所幸,ADV,POSITIVE
37,3,本人,N,NONE
37,3,務必,ADV,POSITIVE
37,3,辦理,Vt,NONE
37,3,準備好,Vt,POSITIVE
37,3,攜程,N,NONE
37,3,準備,Vt,POSITIVE
37,3,預先,ADV,NONE
37,3,已經,ADV,POSITIVE
37,3,訂單,N,NONE
37,3,手續,N,NONE
37,1,行李架,N,NONE
37,1,名叫,Vt,NONE
38,3,車,N,NONE
38,3,走路,Vi,NONE
38,3,開發區,N,NONE
38,3,起步價,N,NONE
38,3,出差,Vi,NONE
39,3,又,ADV,NONE
40,3,反饋,Vt,NONE
40,3,大門,N,POSITIVE
40,3,好像,ADV,POSITIVE
40,3,工作,N,NONE
40,3,差距,N,NEGATIVE
40,3,一如,Vt,POSITIVE
40,3,透進,Vt,NONE
40,3,整修,Vt,NONE
40,3,俱樂部,N,NONE
40,3,總是,ADV,POSITIVE
40,3,康體,N,NONE
40,3,走廊,N,NONE
40,3,旅行,Vi,NONE
40,3,風,N,NONE
40,3,大樓,N,NONE
40,3,您好,Vi,NONE
40,3,理想,N,POSITIVE
40,3,正在,ADV,NONE
40,3,將,ADV,NONE
40,3,期間,N,NONE
40,3,完成,Vt,POSITIVE
40,3,快,Vi,NONE
40,3,往,Vt,NONE
40,3,開,Vt,NONE
40,1,雜亂,Vi,NEGATIVE
40,3,寬帶,N,NONE
40,1,短期,N,NONE
40,3,銀帆,N,NONE
40,3,評價,N,NONE
40,3,所,ADV,NONE
40,3,指,Vt,NONE
40,3,您,N,NONE
40,3,7日,N,NONE
40,3,5月,N,NONE
40,3,主樓,N,NONE
40,3,近期,N,NONE
40,3,工程,N,NONE
40,3,盡快,ADV,POSITIVE
40,3,現,N,NONE
40,1,中肯,Vi,POSITIVE
40,1,一頭,ADV,NONE
41,3,臨時,N,NONE
41,3,如何,ADV,NONE
41,3,無語,Vi,NEGATIVE
41,3,評,N,NONE
41,3,管理,Vt,POSITIVE
41,3,蹲,Vi,NONE
41,3,行政,N,NONE
41,3,不可,ADV,NEGATIVE
41,3,喜好,N,POSITIVE
41,3,能,ADV,NONE
41,1,應不應該,ADV,NONE
41,3,預定,Vt,POSITIVE
41,1,彎腰,Vi,NONE
41,3,不會,ADV,NEGATIVE
41,3,欣慰,Vt,POSITIVE
41,1,一時,N,NONE
41,3,保留,Vt,NEGATIVE
41,3,安排,Vt,POSITIVE
41,3,客戶,N,NONE
41,1,尊重,Vt,NEGATIVE
41,3,當然,ADV,POSITIVE
41,1,雕,Vt,NONE
41,3,首先,ADV,POSITIVE
41,3,唯一,A,POSITIVE
41,1,好歹,ADV,NONE
41,3,找,Vt,NONE
41,1,套用,Vt,POSITIVE
41,3,不用,ADV,NEGATIVE
41,3,投訴,Vi,NEGATIVE
41,1,標配,Vt,NONE
41,1,老話,N,NONE
41,3,增加,Vt,POSITIVE
41,3,9月,N,NONE
41,1,朽木,N,NONE
41,3,居然,ADV,NEGATIVE
41,3,14日,N,NONE
41,3,終於,ADV,POSITIVE
41,3,相應,Vi,NONE
41,3,信息,N,NONE
41,3,至少,ADV,NEGATIVE
41,3,系統,N,NONE
41,1,回顧,Vt,POSITIVE
41,3,2007年,N,NONE
41,3,記錄,N,NONE
41,3,豪華,Vi,POSITIVE
42,3,好評,N,POSITIVE
42,3,通過,Vt,POSITIVE
42,3,客人,N,NONE
42,3,良好,Vi,POSITIVE
42,3,資源,N,POSITIVE
42,3,活動,N,NONE
42,1,優化,Vi,NONE
42,1,辦公台,N,NONE
42,3,歡迎,Vt,POSITIVE
42,3,總機,N,NONE
42,3,聯繫,Vt,POSITIVE
42,3,幫助,Vt,NEGATIVE
42,3,1月,N,NONE
42,3,網速,N,NONE
42,3,升級,Vi,POSITIVE
42,1,推廣,Vt,POSITIVE
42,3,適合,Vi,POSITIVE
42,3,衛生間,N,NONE
42,3,16日,N,NONE
42,3,個人,N,NONE
42,3,進一步,ADV,POSITIVE
42,3,習慣,N,POSITIVE
42,3,一致,Vi,POSITIVE
43,1,意外,N,NEGATIVE
43,3,基礎,N,POSITIVE
43,1,年終,N,NONE
43,3,目前,N,NONE
43,3,級別,N,NONE
43,3,更,ADV,NONE
43,3,房型,N,NONE
43,3,喜歡,Vt,POSITIVE
43,3,全新,Vi,POSITIVE
43,3,為,Vt,NONE
43,1,間高,N,NONE
43,1,回饋,Vt,POSITIVE
43,3,推出,Vt,POSITIVE
44,3,相信,Vt,POSITIVE
44,1,謹,ADV,NONE
44,3,贊,Vt,NONE
44,3,全體,N,NONE
44,3,總體,N,NONE
44,3,還可以,ADV,NEGATIVE
44,3,公司,N,NONE
44,3,宣傳,N,POSITIVE
44,1,中文字,N,NONE
44,3,同仁,N,NONE
44,1,一流,Vi,POSITIVE
44,3,均,ADV,NONE
44,3,國,N,NONE
44,3,馬桶,N,NONE
44,3,尤其,ADV,POSITIVE
44,3,未來,N,NONE
44,3,超級,A,POSITIVE
44,3,市區,N,NONE
44,3,怎麼樣,Vi,NONE
44,3,天,N,NONE
44,3,標示,N,NONE
44,3,投入,Vt,POSITIVE
44,3,代表,Vt,POSITIVE
44,3,使用,Vt,POSITIVE
44,3,普遍,Vi,POSITIVE
44,1,電控,N,NONE
44,1,日,N,NONE
44,3,敢,Vt,NONE
44,1,外籍,A,NONE
44,1,川日,N,NONE
44,3,展開,Vt,POSITIVE
44,3,技術,N,NONE
44,3,9日,N,NONE
44,3,正式,Vi,POSITIVE
44,3,相當,ADV,POSITIVE
44,3,日本,N,NONE
44,3,安裝,Vt,NONE
44,3,知,Vt,NONE
44,3,結束,Vt,NEGATIVE
44,3,用,Vt,NONE
44,3,10日,N,NONE
44,3,味道,N,NONE
44,1,新型,N,NONE
44,3,可愛,Vi,POSITIVE
44,3,開始,Vt,POSITIVE
44,1,龐大,Vi,POSITIVE
44,3,熟練,Vi,POSITIVE
44,3,生意,N,NONE
44,3,廣告,N,NONE
44,3,老外,N,NONE
44,1,烘乾,Vt,NONE
44,3,廣大,Vi,POSITIVE
44,3,為什麼,ADV,NONE
44,3,功能,N,NONE
45,3,睡覺,Vi,NONE
45,3,噪聲,N,NEGATIVE
45,3,吵,Vi,NONE
45,3,自助餐,N,NONE
45,3,晚上,N,NONE
45,3,空調,N,NONE
47,3,講,Vt,NONE
47,3,服務生,N,NONE
47,3,確認,Vt,POSITIVE
47,3,奢侈,Vi,NEGATIVE
47,1,拖延,Vt,NEGATIVE
47,3,定單,N,NONE
47,3,意識,N,POSITIVE
47,3,偶,ADV,NONE
47,3,外,N,NONE
47,3,內部,N,NONE
47,3,時間,N,POSITIVE
47,3,自助,Vi,POSITIVE
47,3,東東,N,NONE
48,3,燒水,Vi,NONE
48,3,對面,N,NONE
48,3,含,Vt,NONE
48,3,偏,ADV,NONE
48,3,衛生,N,POSITIVE
48,1,尚佳,Vi,NONE
48,1,早餐店,N,NONE
48,3,顯得,Vt,POSITIVE
48,3,地理,N,NONE
48,3,還好,Vi,POSITIVE
48,3,而言,Vt,NONE
48,3,不能,ADV,NEGATIVE
48,3,住客,N,NONE
49,3,不少,Vi,POSITIVE
49,3,地段,N,NONE
49,1,中價位,N,NONE
49,3,繁華,Vi,NONE
49,3,適中,Vi,NONE
50,3,上,N,NONE
50,3,舊,Vi,NONE
50,3,夜景,N,NONE
50,3,邊,N,NONE
50,3,錢,N,NONE
50,3,中山,N,NONE
50,3,景區,N,NONE
50,1,美麗,Vi,POSITIVE
50,3,11樓,N,NONE
50,3,多元,A,POSITIVE
50,3,廣場,N,NONE
51,1,購物區,N,NONE
51,3,直達,Vt,NONE
51,1,視野,N,NONE
51,3,一,ADV,NONE
51,3,得到,Vt,POSITIVE
51,3,友好,Vi,POSITIVE
51,3,人員,N,NONE
51,3,在意,Vt,NEGATIVE
51,3,打掃,Vt,NONE
51,3,過,Vt,NONE
51,3,熱情,Vi,NEGATIVE
51,1,博覽,Vt,NONE
51,3,值得,Vi,POSITIVE
51,3,今年,N,NONE
51,3,提,Vt,NONE
51,3,公交車,N,NONE
51,3,8月,N,NONE
51,3,解決,Vt,NEGATIVE
51,3,以前,N,NONE
51,3,決定,Vt,NEGATIVE
51,3,重要,Vi,POSITIVE
51,3,24日,N,NONE
51,3,討厭,Vt,NEGATIVE
52,1,前端,N,NONE
52,3,裡,N,NONE
52,1,細緻,Vi,POSITIVE
52,3,中午,N,NONE
52,3,費,Vt,NONE
52,3,不應該,ADV,NEGATIVE
52,3,後來,N,NONE
52,3,令,Vt,NONE
52,3,打電話,Vi,NONE
52,1,絡腮鬍,N,NONE
52,3,鑰匙,N,NONE
52,3,喝,Vt,NONE
52,3,問,Vt,NONE
52,3,答覆,N,POSITIVE
52,3,沖洗,Vt,NONE
52,3,那樣,Vi,NONE
52,3,坐,Vi,NONE
52,3,嚇,Vt,NONE
52,3,第二天,N,NONE
52,3,下樓,Vi,NONE
52,1,垂下來,Vi,NONE
52,3,市中心,N,NONE
52,3,洗澡水,N,NONE
52,3,可,ADV,NONE
52,3,印象,N,NONE
52,3,桶裝水,N,NONE
52,3,趕緊,ADV,POSITIVE
52,1,工夫,N,NONE
52,3,碰到,Vt,NONE
52,1,底部,N,NONE
52,3,小型,N,NONE
52,3,子,N,NONE
52,1,水力,N,NONE
52,3,才,ADV,NONE
52,3,怪,Vi,NONE
52,3,深,Vi,NONE
52,3,淺,Vi,NONE
52,1,小伙子,N,NONE
52,3,回來,Vi,NONE
52,1,小便處,N,NONE
52,3,洗手間,N,NONE
52,3,失誤,N,NEGATIVE
52,3,不足,Vi,NEGATIVE
52,3,燒,Vt,NONE
52,3,進入,Vt,NONE
52,3,大便,N,NEGATIVE
52,3,非得,ADV,NONE
52,3,開門,Vi,NONE
53,3,進行,Vt,POSITIVE
53,3,翻新,Vt,POSITIVE
53,3,別,ADV,NONE
53,3,中心,N,NONE
53,3,一直,ADV,POSITIVE
53,1,寫字樓區,N,NONE
53,3,漲,Vi,NONE
53,3,到時,ADV,NONE
53,3,靠近,Vt,POSITIVE
53,3,陳舊,Vi,NEGATIVE
53,3,設備,N,NONE
54,3,經營,Vt,POSITIVE
54,1,有如,Vt,POSITIVE
54,3,那裡,N,NONE
54,3,桑拿,N,NONE
54,3,一樣,Vi,POSITIVE
54,3,倒是,ADV,POSITIVE
55,3,機會,N,POSITIVE
55,3,寫,Vt,NONE
55,3,更加,ADV,POSITIVE
55,3,繼續,Vt,POSITIVE
56,3,考慮,Vt,POSITIVE
56,3,它,N,NONE
56,1,金融,N,NONE
56,3,哪裡,N,NONE
56,3,再次,ADV,NONE
57,3,外國,N,NONE
57,3,豪華閣,N,NONE
57,3,普通,Vi,NONE
57,3,遇到,Vt,POSITIVE
57,3,經常,ADV,POSITIVE
57,3,聽說,Vt,POSITIVE
63,3,周邊,N,NONE
63,3,位於,Vt,NONE
64,3,改善,Vt,NEGATIVE
64,3,有得,ADV,NONE
64,3,無法,ADV,NEGATIVE
64,3,收,Vt,NONE
64,3,郵件,N,NONE
64,3,效率,N,POSITIVE
64,3,網頁,N,NONE
65,1,大商,N,NONE
65,3,四星,N,NONE
65,3,掛牌,Vi,NONE
65,3,准,Vt,NONE
65,3,商場,N,NONE
65,3,正,ADV,NONE
65,3,便利,Vt,POSITIVE
65,1,立,Vt,NONE
65,3,購物,Vi,NONE
66,3,聲音,N,NONE
66,3,上網費,N,NONE
66,3,聽,Vt,NONE
66,3,費用,N,NONE
66,3,根本,ADV,POSITIVE
66,3,感到,Vt,NONE
66,3,值,Vi,NONE
66,3,換,Vt,NONE
66,3,以為,Vt,POSITIVE
66,3,提出,Vt,NONE
66,1,17樓,N,NONE
66,3,原本,ADV,NONE
67,3,收到,Vt,POSITIVE
67,3,軌,N,NONE
67,1,清泥窪,N,NONE
67,3,想像,N,POSITIVE
67,3,電視,N,NONE
67,1,天津街,N,NONE
67,3,收費,Vt,NONE
67,1,電車,N,NONE
67,1,韓,N,NONE
67,1,8平,N,NONE
67,3,港,N,NONE
67,3,標,N,NONE
67,3,樓下,N,NONE
67,3,有有,Vi,NONE
67,3,不遠,Vi,NONE
67,3,美,N,NONE
67,3,清晰,Vi,POSITIVE
67,3,覺得,Vt,POSITIVE
68,3,很多,Vi,POSITIVE
68,3,合適,Vi,POSITIVE
68,3,玻璃,N,NONE
68,3,迷你,Vi,NONE
68,3,換氣,Vi,NONE
68,3,質量,N,NONE
68,3,業務,N,NONE
68,3,查房,Vi,NONE
68,3,退房,Vi,NONE
68,3,用品,N,NONE
68,3,幕牆,N,NONE
68,3,極為,ADV,POSITIVE
69,3,商業,N,NONE
69,1,猶豫,Vt,NEGATIVE
69,3,中,N,NONE
69,3,特別,Vi,POSITIVE
69,3,正常,Vi,POSITIVE
69,3,這麼,ADV,NONE
69,3,剛,ADV,NONE
69,3,實在,ADV,POSITIVE
69,3,找到,Vt,POSITIVE
69,1,人士,N,NONE
69,3,容易,Vi,NEGATIVE
69,3,四星級,N,NONE
69,3,差異,N,NEGATIVE
77,3,浴室,N,NONE
77,3,散,Vi,NONE
77,3,出水,Vi,NONE
77,3,好用,Vi,NONE
77,1,水量,N,NONE
77,3,噴頭,N,NONE
77,3,後邊,N,NONE
77,3,調節,Vt,NONE
78,3,感受到,Vt,POSITIVE
78,3,推薦,Vt,POSITIVE
78,1,送上,Vt,POSITIVE
78,1,夏日,N,NONE
78,1,檸檬茶,N,NONE
78,3,啤酒,N,NONE
78,1,冰,N,NONE
78,3,夜晚,N,NONE
78,3,朋友,N,NONE
78,1,適時,ADV,POSITIVE
78,3,貼心,Vi,NONE
78,3,露天,N,NONE
78,1,暢談,Vt,POSITIVE
78,1,愜意,Vi,POSITIVE
79,3,軟,Vi,NONE
79,3,單調,Vi,NEGATIVE
79,3,吹,Vt,NONE
79,3,酒,N,NONE
79,1,些少,A,NONE
79,3,到位,Vi,NONE
79,3,主要,ADV,POSITIVE
79,3,周到,Vi,POSITIVE
79,1,啤酒節,N,NONE
79,1,涼爽,Vi,POSITIVE
80,3,原因,N,NONE
80,3,賺錢,Vi,POSITIVE
80,3,維修,Vt,NONE
80,3,真正,A,POSITIVE
80,3,理由,N,NEGATIVE
81,3,空間,N,NONE
81,3,團隊,N,NONE
81,3,氣氛,N,NONE
81,1,演奏,Vt,NONE
81,1,唱,Vt,NONE
81,3,歐式,A,NONE
81,3,裝飾,N,NONE
81,3,帶,Vt,NONE
81,3,表演,N,NONE
81,1,有禮,Vi,POSITIVE
81,3,風格,N,NONE
81,3,一起,ADV,NONE
81,1,趕巧,Vi,NONE
81,3,溫馨,Vi,POSITIVE
82,3,低,Vi,NONE
82,3,稍微,ADV,NONE
82,3,拖鞋,N,NONE
82,3,家,N,NONE
82,3,放,Vt,NONE
82,3,傢俱,N,NONE
82,3,價位,N,NONE
82,3,4星,N,NONE
82,3,算是,Vt,POSITIVE
82,3,一般,Vi,NONE
82,1,清潔工,N,NONE
89,3,擔心,Vt,NEGATIVE
89,3,確定,Vt,POSITIVE
89,3,走進,Vt,POSITIVE
89,3,溫暖,Vt,POSITIVE
89,3,步行,Vi,NONE
89,3,船,N,NONE
89,1,得以,ADV,POSITIVE
89,3,有效,Vi,POSITIVE
89,1,大連灣,N,NONE
89,3,大概,ADV,POSITIVE
89,3,親切,Vi,POSITIVE
89,1,大連港,N,NONE
89,3,三星,N,NONE
89,3,快捷,Vi,NONE
89,3,碼頭,N,NONE
89,3,有空,Vi,NONE
89,3,忐忑不安,Vi,NONE
89,3,早,Vi,NONE
89,3,掛,Vt,NONE
89,3,然後,ADV,NONE
89,3,打車,N,NONE
89,3,對得起,Vt,NONE
89,3,遊客,N,NONE
89,3,只有,ADV,NEGATIVE
89,1,王國,N,POSITIVE
89,3,早上,N,NONE
89,1,溫和,Vi,POSITIVE
89,3,外出,Vi,NONE
89,3,送到,Vt,POSITIVE
89,1,趕往,Vt,NONE
89,3,休息,Vi,POSITIVE
90,3,馬馬虎虎,Vi,NEGATIVE
91,3,超出,Vt,NEGATIVE
91,1,隆重,Vi,NONE
91,1,達美,N,NONE
91,3,早餐券,N,NONE
91,3,面積,N,NONE
91,3,遠遠,Vi,NONE
91,3,茶,N,NONE
91,1,印度,N,NONE
91,3,孩子,N,NONE
91,3,顯,Vt,NONE
91,3,大氣,N,NONE
91,1,俄羅斯,N,NONE
91,3,門童,N,NONE
91,3,現場,N,NONE
91,1,調節稅,N,NONE
91,3,雙人,N,NONE
91,3,支付,Vt,POSITIVE
91,3,5星級,N,NONE
91,1,鷯哥,N,NONE
91,1,勝過,Vt,POSITIVE
91,3,特色,N,POSITIVE
91,3,泰,N,NONE
91,3,晚餐,N,NONE
91,3,自費,Vi,NONE
91,3,吸引,Vt,POSITIVE
91,3,付費,Vi,NONE
91,3,不要,ADV,NEGATIVE
91,1,俄式,A,NONE
91,1,爵,Vt,NONE
91,1,羊扒,N,NONE
91,1,男女聲,N,NONE
91,1,抵用,Vt,NONE
91,1,烤制,N,NONE
91,3,你好,Vt,NONE
