Serial,Aspect,Opinion(List)
356,酒店,不一样_满意_努力_也会_是_谢谢_继续_宝贵_提出_下次入住_提出_希望_让_
487,房间,一般_还会_不仅慢_经常断网_
470,位置,比较好_还不错_还不错_早_找_
307,地下,加房_是_骗_不说_要_当然应该_独立经营_
784,早餐,还行_考虑_还会_还不错_不方便_只是停车_入住_属于_
35,酒店,直接去_不错_可以_有点旧_比较小_游泳_
677,地方,还要_最差_不到_充点评_有_完全感受_３３０元_是_认为_受气．补_不合理_
585,四步,很差_基本是_隔_都能_还有_出来_相同_排出_走到_主要考虑_见面_不隔音_住_听见_用_很清楚_才去_临近_做事_就是_在_
399,期间,得知_
401,房间,很好_留下_已经收到_谢谢_赞_
68,声音,都能_更响_无法入睡_听到_不关_饮水机_
901,碗,泡_冰冷_飞舞_出来_有_没有_洗过_用来_就拿_吃粥_不知道_
415,层Check-in,
355,早饭,要_不起_吃_
205,年代,最美_还会_也是_有_很不错_很大_看_来_在所难免_下次要_住_
496,五星,及时发现_怎么无_遗留_及时通知_
866,餐餐,还好床_是_干净_够_星级_很怀疑_
165,人,太合适_住_
210,被子,睡觉_较好_太厚_一般_服务_没见到_超热_
634,相国寺,即可_不远_走路_
758,品种,不到_是_略显_较多_但明档_吃_
613,交通,很方便_宾馆反馈_感谢_基本为_欢迎_应该_再次试住_新装_还有_
445,香港,管理_
651,半天,也没有_办理_只有收拾_是_不爽阿_不解决_叫_
283,成心坑人,给_刚进去_看看_住_没有找到_是_更可笑_是_是_
425,玻璃窗,
306,人,还不错_出差_住_可以_建议_去_
822,玻璃,应该_不透明_用_有点眼花缭乱_
495,喜来登,确实不错_标准_是_五星级_
18,酒店,
666,换房,竟然告知_无果_推诿_退房_中年_换_答应_有_都没有_
263,房间,特别好_很干净_不算是_找_就是_
724,事,都讲_没喝_干_做_表示_
227,游戏,上网_都好_有点大_
741,身上,支付_不够_
983,嘴里,还叼_又问_
483,内容,
38,夜总会,吵到_才安歇_
437,合作,
787,酒店,还是不错_
302,评价,差_一般般_还可以_
53,蹩脚,大_家用_既可以_是_开_提供_直接_烧_也可以_喝_
597,火车,身处_询问_临_行行_选择_一定要_异地_让_并叮嘱_感觉_到_多注意_关心_送上_只要到_入住_到_非常感动_还接到_还将_
219,楼,特别吵_
780,信用卡,要_注意_带_
597,家,入住_选择_只要到_一定要_
255,着门,太低_就看到_也会_有_难道携程_只能_说_不要_躺在_很划_再踏入_不会_预订_不安全_不来_住_排_
6,主席,知道_想_
183,携程,推荐_可考虑_
322,感觉,要_装修_很听_说_挺好_期待_包含_很丰盛_
260,酒店,不见_很少_童似_也没有_看_自顾自聊天说话_不如_
805,人间,放_一般_很小_宽_
683,里面,不到_到_还放_还找_
216,早餐,丰富_
532,问题,开_正好看到_忘_就叫_
743,态度,还可以_
556,网点,不方便_
933,网络,不知道_
203,垃圾,无处停放_无法进入_
500,国情,比较高_还是_
513,恶梦,
666,下面,中年_提出_所谓_无果_推诿_退房_答应_刚进入_不满_都没有_换_竟然告知_有_
502,东西,吃_完全感受_是_快快退房_受气．补_都是_订_３３０元_有_不到_认为_充点评_最差_入住_还要_不合理_
636,态度,非常好_
928,工作,顺利_
309,地,灭绝_又爬_下来_回去_建议_关心_掉_能_硕大_碰到_蹿_实在扫兴_
6,心理,有点好奇_
717,言论,不针对_比较满意_还是_仅代表_携程网_
106,居民,
55,喜来登,不值_那么舒服_看_不接_特价_很有_不计较_平时价_接手_还行_大_有_还是_背_
88,培训,
201,感觉,
791,房价,
585,门,在_才去_主要考虑_住_相同_
70,装修,能_并欢迎_希望_好_尽心打造_得到_今后有_再次光临_会_使_
911,路边,不介意_改成_是_很大_唯一_之前看_没_是_开_体验_来_说_介意_不信_少_说_最差_综合_
943,下面,说_是_干_可以_必须_用_结到_都告诉_小_没有买_去_买_
455,营销部,以便奉上_表达_联系_
124,电视,才罢休_有_可能_服务_想_不见_真的有待_就纳闷_强烈要求_都会_动用_不是_预定_这么倒霉_
651,宾馆,是_平时培训_好_工作_反馈_真诚_入住_服务_不到位_尊敬_
318,规则,随便执行_也要_也可以_激起_又刷_再次被_刷_恐怕_这样收_回去_随便定_出来_这算_不刷_都拿_是_可以_
827,感觉,让_失望_是_
399,重点,星级_推荐_得知_住_
342,价位,类似_能够_吝啬于_最差_好_吃_联系_帮_矩_相比_也是_可能_携程_未收到_再见_很大_说_吹毛求疵_再见_值得_出_订_类似_很诚恳_out_有_
434,朋友,选_远离点_这样可以_一定要_
608,地理,优越_
791,中石化,
558,北站,不含_长途_很近_很干净_相对没有_
63,联系,要求_规范_
32,价格,竟然停用_优惠_寒冷_才知道_是_住_就退房_原本预定_度过_求证_也算_是_已经停用_
89,点评,都有_不错_就订_觉得_
718,早餐,还算_可以_
886,三轮车,干充_
563,服务,不错_不考虑_很礼貌_再入住_
567,巷,挂_
166,酒店,最好_
720,态度,担心_不好_还_联系_
425,房间,加装_双层_太差_讲_极大_定_
560,北京,再次入住_方便_不会_是_
1,服务员,没_很坚决_说_走_没有收到_可以_
487,前台,要_很方便_走_不是_
820,开关,开_会_有_换气_但是洗澡_觉得_分成_
728,水,比较清洁_适合_
358,天,不停_不过_叫_可怜_是_打开_鸣_喘_
708,猎猎,作响_
9,价位,这样子_非常好_住_
597,问候,并叮嘱_选择_异地_入住_感觉_关心_一定要_非常感动_只要到_让_到_身处_询问_多注意_
705,行为,有_真实_免_仍然希望_后来觉得_如此_考虑_也体现_还会_让_及时改进_贬_看到_不足_体现_那么麻烦_入住_难能_有_不想_积极发现_能_要_可贵_确实感到_道歉_也影响_点评_以后入住_
434,背面,入住_远离点_很响_这样可以_就是_选_出现_方便_是_很大_建议_一定要_要_很方便_尤其半夜路_
53,车,拦_走出_接近_有些不好意思_顶_帮_
444,客户,结账_拜_要_说_只得_却要价_是_说_
484,人间,半夜来_淋_是_还好床_堵塞_够_干净_早_很怀疑_处理_星级_
245,房间,也没有_洗_澡弄_全是_说_开门_要_居然小_直接排到_相当差_是_大_进出_
190,家乐福,买_
992,绵阳,只有_
550,服务,好_
121,牛奶,就适应_但吃_比较稀_放_比较长_
541,三星,零星级_星级_
916,雨伞,台_很主动_服务_提醒_忘_
898,外资,有_全是_混_
608,机场,非常值_
914,服务,很温馨_很舒服_很舒服_很好_也不错_
460,评价,服务_是_很老旧_
725,异味,有_不像_没有_有_潮气_那么_
190,带阳,没有_很大_
921,期间,在意_比较忙_就没有_
248,情况,未听到_
960,水份,
880,台,提前说_就行_叫_也有_帮_可以_
48,条件,可以_入住_
992,车程,只有_
63,工程,感到_非常抱歉_
448,味道,无法下箸_使用_经常拒绝_差_大_
493,胡,实在是_住_说_太差_打_建议_差_实在是_还好意思_没有接到_要_不要_说_
943,住宿,最后_非常奇怪_出来_赶_打_觉得_最后_起来_还给_点_还是_印_早给_才有_得知_发现_主动把_
53,服务员,会_还是不错_有_不是_都是_很积极_就算加_自助_加_不是_吃_不知道_多_就拿完_是_再去_怕_还是_住在_
681,钱,不是_可能_太小_还会_都是_而且显得_选择_很方便_旧_比较有_这么可_有_住_
6,厅,
741,小时,不知道_才拿来_支付_连_用_磨_用_用餐_清楚_又被_是_硬说_消费_借_是_配_才搞_不够_
753,事,反映_在携程_不负_修改_并有_但反映_重要_处理_是_才承认_收费_不诚信_携程_是_原_同意_已得到_一再确认_
851,服务,很好_
154,胡同,
362,酒店,看_不见_很少_童似_自顾自聊天说话_也没有_不如_
416,恐怖,差不多_快捷_
712,酒店,睡_穿_走过_别想_嘻嘻哈哈_
950,栈,出去_太差_选_大清早冒_有_不肯_明明含_还是_买_给_可以_不知道_居然早上_
318,授权,授权_
882,虹桥,超值_很静_很贵但_正逢_入住_
175,浴室,还好_拿_不能_盖_没宽_带_严重影响_也有_都有_睡_打_到_复位_都挤到_走_把_怎么_还得_不起来_没宽带_独立_要_较脏_不知道_到_有_还好_修没_修_说_只带回_休息_都方便_不能_不行_起来_都冷_还没有_带有_带回_较小_有_
66,巴西,还不错_烤肉_
121,鸡蛋,就适应_放_比较长_但吃_
156,房间,稍小_稍显拥挤_放_
455,歉意,
502,时候,帮忙_不要_快快退房_说_可能_也是_入住_需_不到_都是_太勉强_多要_受气．补_有_订_说_遍_服务_而且找_进到_吃_没有_不需要_最没有_不想_当时发现_开始_只有_有_也无能为力_就感到_太冷_〞_帮_充点评_早餐_很冷_完全感受_问_〞_认为_还要_最差_就到_请问_打_太晚_问_没有_问_多说_到_２楼吃_看_特奇怪_是_要_３３０元_竟然问_说_但是没有_可以_不合理_是_说_不是_为什么要_说_问_是_含_
151,酒店,不让_停_找_是_很理想_五星级_不好_像_不了_就是_停车_都走_是_五星_不是_整体_不协助_不像_
781,住户,不好_说_一样_清楚_顶_
162,房间,还是_有_够大_还不错_发霉_太贵_
970,大老鼠,吓_死_跑_
252,说辞,不一样_
388,浴房,到处是_没有_这样_可_都是_
62,空间,惊醒_非常值得_不是_有_略显不足_很好_还有_就是_严重_有待_常被_入住_改进_入住_
567,值,优惠_补充_点评_低_携程_差_再能_给_太小_非常好_携程_
121,人,洗_很潮_比较古老_很好_住_竟然到_走_没有干_很干净_
590,房间,是_携程_有_说_点评_可_不相信_不怎么_定_便宜_携程_携程_
523,机会,睡_
735,城市,还算不错_有_爱好_住得_窗前有_不好_应该_大_住_
487,后门,不是_要_到_走_很方便_
608,大门,非常方便_就是_去_
537,住房,控制_严重影响_关灯_糟糕_透_睡觉_想_拧_老化失灵_只能_
808,走廊,等待_要_过长_太慢_
906,电烧,花_
345,士直,只需要_带_帮忙_刚下车_很满意_都感觉_达_并贴心_见_把_后来得知_层住_上前来_安排_交代_
219,酒店,一次性_是_要_才给_不提供_
467,大厦,不方便_，_实在没有_吃_看来看_吃_看似_可以_
703,周围,严重_
408,感觉,太差_不像_都学_做_
319,房间,早餐难吃_感觉_
971,大床房,入住_发现_就没有_
273,地砖,住_脏渍斑驳_宁愿加_只有_是_配套_来_也是_怎么_不知道_
313,居住,提供_反馈_中_宝贵_想_感谢_符合_简易_更能_达_能_不远_就是_给予_是_选择_还算方便_
796,保安,说_见_销售_下来_全站_就是_是_小_根本没有_起_后到_让_究竟是_排开_怂恿_最大_随处可_将销售_实在是_也是_一样_没有设置_也是_可加入_不清楚_住_分别停_小小_进来_销售_非常糟糕_先后顺序_卖_维持_都有_还是_经常是_先来_也置之不理_不知道_都可以_上下客_打车_停_排队_提供_
316,味道,不好_少_
408,房间,脏西西_很重_感觉_
960,被子,觉得_冰凉_试_就冻醒_奇怪_
837,事情,需要_处理_才退房_
672,外,准_挂牌_
994,招待所,很差_免费注册_说明_联系_Copyright_诚聘英_reserved_才代理_
98,速度,不会_赶上_点评_刚住完_要_会_补充_留下_砍价_
364,标准,较差_
255,人,只能_排_说_不要_住_也会_预订_不会_太低_很划_不来_再踏入_难道携程_
837,公司,也产生_到_过_是_能_接到_投诉_
820,建议,分成_
541,环境,
837,机器,输入_显示_具体_没有_确认_
960,热气,联系_实在找_于是想_下楼_找_有_只得_不到_去_
920,需要,设置_早点建立_直接可以_上网_懂_给_事先说明_彻底解决_自找_又要_不能_不能_是_安排_起来_又要_设置_懂_很无奈_
846,沙粒,小_添加_来_不隔音_只有_不到_也吃_
960,中心,下楼_不到_只得_去_实在找_
602,大点,
847,评价,的确评到_有_过头_就中规_是_
86,开灯,都要_都要_开窗_不要_淋浴没有_带粘_有_以便能_就是_遗留_还怕_最夸张_刷卡_没找到_查_才了解_全是_说_走_大_让_困难_洗_完_以后是_洗_找_很大声_都是_到_找人_不能_进去_不想_开_去_只好打_都有_很脏_慢_住_简直是_很破_正义路跑_用_也散_还有_休息_用_送_多_被_都有_做_想_还有_不去_拿_不会_不能_刷_结_要_不能_挂_出来_绕_一定要_预付_说_就塞_插座_并续_领到_不会_难打开_铺块_算有_只想_太失望_害得_是_再去_太夸张_竟说IT人_
767,其他,都赞_
980,酒店,新开_非常一般_无星级_都不如_都不如_
322,早餐,很丰盛_挺好_
26,服务员,说_退房_没有_让_
635,环境,也没_给_如_好在闹市_
738,时间,用_住_不会_前台_同样_宁愿去_骗_了_有_不名_还可以_就是_就可以_爱_
84,时候,不值_搞错_不说_居然要_
378,南京,能_还是_谈下_选去_选来_还是_很贵_但愿_很无可挑剔_就是_更优惠_
359,位置,办事_是_最方便_比较少_但去_
55,效率,不计较_看_平时价_特价_不值_
853,卫生间,好_居然热水_后来叫来_不来_折腾_才弄_都上_
802,速度,尤其到_快_
664,摆设,
210,小姐,没见到_较好_一般_服务_
586,印象,比较低_
86,维修,有_拿_也散_以后是_不要_要_还怕_开窗_还有_不会_不会_做_还有_铺块_说_太夸张_一定要_淋浴没有_太失望_查_洗_大_才了解_简直是_完_最夸张_竟说IT人_算有_进去_到_不想_走_结_都是_慢_再去_是_住_以便能_不能_休息_送_只想_全是_说_不去_遗留_洗_
318,CEO,只好打_不了_沟通_要_没_工作_却上_忙到_上网_早早回到_发_
92,大街,关门_说话_高_
98,污点,退房_不会_留下_有_要_吃_好像没_补充_砍价_点评_会_赶上_刚住完_吃_
175,线算,有_还得_不能_有_只带回_还好_也有_带_睡_到_都方便_带回_怎么_
503,前锋,不舒服_开_是_会_之后发出_移动_被_
44,工人,是_没想到_星级_洗澡_整修_还有_是_积_要_休息_骚扰_睡觉_开业_放水_去_才敢_让_让_心寒_会_又是_有_好长_
62,喧哗声,入住_惊醒_改进_非常值得_有待_
719,成,不能_再住_接着住_还需要_换_
725,行业,也该_微笑_不是_入住_
364,人,失望_
886,房间,只能_却没有_预订_住_太大_很陈旧_大_
921,里面,问_端_不知_实在令_啼笑皆非_
49,遥,不能_住_点评_太方便_是_不尝_吃_
190,椅子,不开_看_都放_怎么设计_估计_不知道_应该_但是有_是_不到_是_
216,水,难忍受_是_
354,火车站,咫尺_还会_林立_十分方便_再次入住_就在_
361,星收费,管_是_没_当埸小便_吃_只住_在修_不看_会_好_不知_就说_不能_有_看_说_不会_没_拿单_纸记_住_连坐_该_别说_告诉_要_早上吃_
67,床垫,睡_感觉_到_竟然可以_不舒服_
596,早餐,误导_到_被_是_去_
781,古镇,顶_刚好在_大_不好_那叫_清楚_租住_说_住_说_一样_
396,级,要求_不行_
928,特色,近_
799,ctrip.com.,reserved_
549,银子,又观光_
266,三峡,无聊_看看_可以_去_
943,服务,下去_晕倒_莫名其妙不经过_还是要_都告诉_最后说_结到_把_同意_小_是_来_说_买_说_必须_看_就重启_没有买_去_可以_用_干_
530,回,老化_给_说_搬家_打来_于是带_
388,中心,让_说_送_很快_送_找_就给_送来_没送来_
187,餐厅,能_就餐_热情解答_太方便_总是感觉_
342,浴巾,超过_吃_有_也是_旧_说_明确_最差_给予_再见_out_帮_类似_订_吝啬于_矩_很诚恳_好_几乎没_不过要_可能_啥吃_相比_值得_订_可以_再见_寒碜_让_能够_吹毛求疵_很大_吃_显得_能够_携程_似乎有_联系_类似_叫_未收到_出_
290,五台山,停业_带来_会_开业_深感_潮湿_可能_较大_有_凉_高_
670,行李,更没有_开_不敢_帮忙_不满意_休息_
969,饭店,服务_比较正规_是_
252,半天,办理_是_不爽阿_只有收拾_也没有_叫_不解决_
770,时候,结账_就使_就是_结账_排骨煲_
906,供应,开关_有_过来_略微差_明显_传_就是_
984,壶,喝_很湿_有_使用_怎么好_看到_感觉_不好_淋_没敢_变_综合_发霉_上当_容易漏水_也有_使_不敢_开_连放冷水_
141,四星级,是_不合格_
69,客人,需要_好像是_
63,遭遇,抱歉_感到_
753,位置,是_相当优越_唯一_看到_出门_西式_就是_都是_
824,用,烧_开_直接_不是_喝_各取所需_大_家用_用_很足_提供_也可以_供_既可以_是_用_
817,位置,都超过_太高_不好_尤其是_不到位_不符合_换_新开业_入住_用_太低_还是_
952,房间,实际入住_均靠_连放_多余_相同_见到_免费_不同_换_也没有_有_一样_坏_订_见_说_是_什么橱_提_订_最小_只能_不要_提出_没有_
2,园区,上班_
753,大楼,再转乘_很独特_有_先到_先到_都须_办理_指定_更麻烦_入住_都是_直达_位_登记_都有_下楼_要_都得_到达_办_再转乘_
432,受害者,自觉好_请_看到_谢谢_只有_
697,酒点,提出_
825,房子,开_匪夷所思_隔_洗_居然是_
651,携程,入_就在_出来_才可能_到_退_说_也确认_订_还接到_要_没_住_再次确认_说_
100,客人,用_最多_没吃_实在找_基本看_再来_是_用餐_吃好_说_不到_不要浪费_不闻_还叫_进来_就是_更贴切_不问_完_写道_特别是_不起_形容_只能_结束_就没_不出_超出_要_没说_一眼瞥见_看_欢迎_对_
405,房间,给_是_最小_是_有_是_很破_
86,门锁,住_洗_太失望_进去_算有_开窗_不能_以后是_全是_不去_说_困难_遗留_就是_还有_是_最夸张_休息_开_还有_以便能_说_铺块_洗_都是_有_一定要_要_淋浴没有_也散_很大声_送_到_做_只想_还怕_找人_慢_查_竟说IT人_不会_太夸张_走_不会_简直是_不要_不想_拿_完_都要_再去_结_大_才了解_
456,卫生,
574,沟通,造成_
920,WIFI,彻底解决_
809,发票,提出_入住_开好_宝贵_再想起_还高兴_尊敬_选择_也带_走_查房_一走_没有查房_反馈_早知道_感谢_
779,反馈,失望_相信_进行_也有_不会_新_促销_让_
491,服务,感觉_比较差_比较一般_自助_
15,异常,已购买_选用_点心_而给予_固定中式_增加_预订_产生_保障_造成_是_再次光临_共有_免费升级_需_供_需_深表_欢迎_入住_
69,钱,不过可以_反映_不多_
370,流水,住时_可能_希望_会_不小于_可能_影响_得到_
303,南京,看_也有_好_
252,家人,健康_
13,团队,赚_只顾_
84,押金,
362,车,自顾自聊天说话_很少_不如_童似_也没有_看_不见_
12,地方,竟然收_最令_失望_实际上打车_不到_开_40块去_打_住_不到_
680,客人,很合适_远_
185,晚,重新恢复_原_连住_交涉_已确认_否认_不下_
186,服务员,安静_下班_仔细介绍_选_该_良好_难叫到_怎么乘车_靠近_到_都经过_是_还算_
922,开门,就看到_也会_说_很划_只能_难道携程_不会_住_预订_太低_不来_再踏入_排_不要_
26,话,无效_
19,卫生间,洗澡_不清_还是打消_本来想_有_吃_但是看_完_说_
78,位置,不开身_小_甚至转_
808,卫生,要_太慢_等待_顶漏_过长_去_
564,计较,也算是_送_怎么说_
969,餐厅,很贵_准备_不是_不错_很周到_
890,服务,不要_更高_建议_否则会_就是_有_三星级_有_
807,饭菜,也有待_也少_提高_实在做_不敢_恭维_
175,房间,却当头_好_拿_等到达_严重影响_带回_修没_才用_走_可以_只有_协调_带_盖_就没_独立_没宽带_只带回_封闭_较脏_打_怎么_住在_复位_有_浩浩荡荡开拔_较小_比较通融_有_到_把_睡_竟然说_整体_都挤到_有_入住_还没有_还得_找_休息_不能_中途_可积分_要_赶紧找_延长_不能_缓慢运动_都有_较旧_不起来_到_不是_起来_还好_多花_没宽_轰下_到_不行_大_开车_也有_修_都冷_客服_只好回来_说_都方便_不挨_带有_私下转包_没_答应_打到_招待_不想_是_还好_大_携程客服_不知道_有_被_
918,管理,才是_
947,设施,订_去_还过_还有_网速不错_
560,床,软_很舒服_
775,房间,要_免费帮_还有_帮_以后有_有_有_大_想_送_象_再来_还住_洗_洗_
970,字台,座_趴_害_架上_要_
343,办法,空_不给_大_才加进_真是_得到_就是_解决_不愉快_不开心_不答应_不能_把_能_加床_发现_就是_分明_有_出去_说_开_都搬_
708,信用卡,担保_立刻有_
426,功能,也算_完备_数次颠醒_接送_很好_感觉_一路上被_
672,in,
2,浴缸,青苔_都生_非常脏_而且淋浴房_
547,态度,尚可_
876,手续,是_爱_比比皆是_大_才确认_相隔_没有入住_折腾_再拿_差_有_新开_并没有_并没有_不能_说_非常佳_再差_做_听_非常客观_不会_付_去_喜欢_临_
329,会所,走_打车_要_进去_不好_好找_
869,服务,说话_安排_是_不好_说_携程_没_
966,房间,较小_出_不大_较为陈旧_未体现_相比_四星级_
53,惊喜,没想到_这么高_有_
439,花色,
197,标准,就是_有_
407,差距,没别_太大_号称_
616,速度,很快_
4,污渍,让_不舒服_
89,电话,才找到_
924,背后,就是_美美_
388,中央,不停_挂_发出_怪怪_
564,武汉,真的是_感受_一定要_一样_让_只停留_入住_实在是_大_早到_感觉_很差_误机_也是_便是_有待_所以提醒_恭维_是_不敢_
685,退房,还_联系_不好_担心_
47,房间,不喜欢_接受_投诉_不会_说_清洁_隔_对不起_不会_有_极差_主要面向_不干净_
530,毛衣,奇怪_才行_又加_觉得_就冻醒_冰凉_试_睡觉_
391,五星,怎么可以_应该_反思_
386,房间,很好_很方便_主要是_能_
190,消毒,到_没法喝_买_
739,距离,到_排队_关_也没_就得手_不得了_不引导_亮_取煎_下手_睡觉_抢_
922,吹风,是_躺在_再踏入_不会_只能_也会_说_预订_真是_很小_很划_三角形_太低_就看到_住_高级_不来_不要_排_不方正_很小_有_难道携程_冷死冻死_不安全_没有_
443,毛毯,不像_
76,毛发,
702,外国,放在_特意把_办理_不像_用_要_三星级_好_起来_感觉_不用_醒目_说_这么小气_打扫_入住_也不至于_感觉_是_才送_是_具_
199,网线,没有_是_再住_不会_
796,香皂盒,皂泡_都知道_住_脚线_是_曾经淹_不详_不算_不堪_很明显_是_没有清洗_装_，_显示_上去_但是感觉_更可怕_洗手_是_相信_又干_稍微有_晦涩_清清楚楚_只是拉开_是_关上_不是_隐隐发黑_怀疑_等级_是_怪异_至少是_
796,商品,赠送_吃亏_加上_倒是_但是怕_似_购买_一见_
846,网上,大_遇到_是_
918,空调,修_不是_修好_不好_去_响_找_说_
999,前,坏_没有_有_不知道_介绍_管_等_单签_脏_买_打到_台扯_还没_吃饭_是_去_要_是_怎么说_都是_那么大_
376,地段,送_不错_也不错_自助_就能_
23,北街,老喜欢_
890,标准,有_更高_有_建议_否则会_不要_
630,设施,大_大_被_来_恶_完全翻新_一圆_最要命_爬到_粗_
798,一般,比较大_
59,酒店,很陈旧_也坏掉_很差_
374,服务员,很好_入住_在装修_
420,房,有_还有_很新_也有_小_很大_专门_洗_大_一样_有_很漂亮_
391,遥控,起来_怎么可以_反思_器藏_应该_
441,床,发出_赠送_太差_非常好吃_吱嘎_
759,客房部,发现_慰问_前来_赠送_
239,餐厅,碗_吃_
114,提示,顺利入住_
779,宾馆,相信_新加坡籍_也有_感谢_选择_进行_不会_让_下榻_新上任_反馈_促销_新_失望_
770,价值,就没有_而且等_才有_稍晚_墓道回来_只能_震耳欲聋_不便_过）_打_都是_基本_
875,西餐厅,不好吃_不知道_有_吃_说_没去_
672,携城,豪华_是_服务_到_蛮准时_打完_还算不错_是_接机_折_预定_
306,信息,建议_去_就找到_还不错_开车_住_很准确_可以_住_只能_出差_
693,无锡市,看_训练有素_搞_有_非常干净_感谢_挺温馨_顺利_再次下榻_也是_就是_将一如既往_来_想_不大_感觉_推出_促销_说_入住_再来_但是感觉_中归_还送_不错_衷心祝_赞_是_感觉_绝对是_应该_决定_欢迎_星级_登记_保持_整洁_听_出_还是做_日常_还是_反馈_新_顺利_很快_星级_不错_
73,房间,不会_整理_完全对_差_不住_装修_住_陈旧_
329,客人,入住_是_
465,空调,很响_
928,行政,都有_有_无可挑剔_该_很大_
897,酒店,靠_需要_得_等_居然说_都休息_上班_
895,金苑,听到_预定_在B座_可是有_预定_是_
84,整数,不给_一样_而没有_
70,屯河华,好_能_进行_全新_希望_使_会_入住_尽心打造_得到_未能_达到_并欢迎_再次光临_今后有_包括_满意_深表_
101,沙发,大概是_很小_
868,房房,预订_价涨_宰_住_再入住_说_是_说_补充_住_借伞_并出示_还说_总之感觉_被_应该_像是_补_要_要_是_是_告知_是_不会_也是_取消_后来说_点评_收半天_是_
360,人员,是_看看_看看_不知道_当然是_来_
699,性骚扰,贡住_居然是_分别不同_不说_打来_回自_有_以后去_就是_宁愿坐_
719,空调,睡觉_不舒服_不用_吵_说_
318,中国,要求_刷卡_远超过_有_入住_这样做_做_不信任_不是_而且是_会_发达_只押_不会_是_这样去_
608,太平山,有_不仅方便_就是_看_还能_便宜_欣赏_乘坐_
959,书籍,还有_问_也漂亮_马上介绍_挑_好逛_很热情_挺美_顺便搞_靠_有_登记_SHOPPING_借_有_可以_免费_还放_帮_买_有_很好闻_很喜欢_可以_大洋_不错_
549,点,很方便_订购_
365,协程,取缔_去_有_上当_
409,插头,补充_用_都可以_
564,朋友,一定要_便是_感受_早到_只停留_真的是_实在是_有待_入住_误机_很差_
860,保安,投诉_去_敲错_竟然说_是_无动于衷_
841,评论,冲泡_已绝迹_只提_是热_给_原来是_都是_
576,大同,定_
837,不信任,能_过_投诉_到_是_接到_
487,附近,就有_
889,卫生,可能_一般_入住_下次有_还会_不贵_
203,招牌,不到_小_也找_转_进入_但到_违反_还被_
891,东西,大_不是_就破_能_伤_打开_
193,服务员,一问三不知_成_梦得_起_吸引_叫_
88,陈设,过于简陋_
369,投诉,住进_请_相胁_
93,大雨,接_给_之后派车_截_
63,商品房,带来_要求_规范_所以给_在赶_
711,价格,而订_仓促_不到_
965,价格,但标间_太合适_住_合理_
207,硬件,服务_打_达标_差_比较简单_比较困难_
78,空间,甚至转_不开身_
34,西餐厅,加热_有_烧_早上_不是_不好_很浓_用餐_腊燃_不是_就能够_让_加温_起来_不知道_评上_保温_明亮_是_都希望_弄_感觉_采用_
673,房间,偏低_偏长_薄_更好_差_薄_供_
388,门捅,不开_就敲门_踹_
445,中上,也谈_不上_
298,霉味,且无_可能_更好_会_是_不值_
220,服务,Copyright_reserved_才代理_联系_说明_诚聘英_
